,ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index,Years of life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income per capita,Endangered,Rank,Population,Government,Republic,Constitutional monarchy,Provisional,Absolute monarchy,% speakers
29,405.0,Romani,Albania,"ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,3500000,46.3165,22.3681,69.0,0.795,78.6,14.7,10.1,13.998,1,135,2845955,,0,0,0,0,1.22981565063397
30,1026.0,Torlak,Albania,"ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,1500000,42.9644,22.1374,69.0,0.795,78.6,14.7,10.1,13.998,0,135,2845955,,0,0,0,0,0.5270638502717014
31,331.0,Aromanian,Albania,"ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,500000,40.2292,21.1376,69.0,0.795,78.6,14.7,10.1,13.998,1,135,2845955,,0,0,0,0,0.17568795009056715
32,2211.0,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,3000000,32.0833,34.8333,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.32192502580765625
33,2165.0,Judezmo (Israel),Israel,ISR,lad,Severely endangered,400000,32.0872,34.7737,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.042923336774354164
34,2452.0,Moroccan Judeo-Arabic (Israel),Israel,ISR,aju,Definitely endangered,300000,32.0476,34.7552,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.03219250258076562
35,2451.0,Judeo-Berber (Israel),Israel,ISR,jbe,Severely endangered,30000,31.6767,34.5684,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.003219250258076562
36,2173.0,Hulaula (Israel),Israel,ISR,huy,Severely endangered,10000,32.2128,34.9118,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.0010730834193588541
37,2172.0,Lishana Deni (Israel),Israel,ISR,lsd,Severely endangered,7500,31.7748,35.1013,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.0008048125645191405
38,2174.0,Lishan Didan (Israel),Israel,ISR,trg,Severely endangered,4000,32.0383,34.7827,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.0004292333677435416
