ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
331.0,Aromanian,Albania,"ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,500000.0,40.2292,21.1376,69.0,0.795,78.6,14.7,10.1,13.998,1.0,135,2845955.0,
2211.0,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,3000000.0,32.0833,34.8333,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2165.0,Judezmo (Israel),Israel,ISR,lad,Severely endangered,400000.0,32.0872,34.7737,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2452.0,Moroccan Judeo-Arabic (Israel),Israel,ISR,aju,Definitely endangered,300000.0,32.0476,34.7552,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2451.0,Judeo-Berber (Israel),Israel,ISR,jbe,Severely endangered,30000.0,31.6767,34.5684,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2173.0,Hulaula (Israel),Israel,ISR,huy,Severely endangered,10000.0,32.2128,34.9118,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2172.0,Lishana Deni (Israel),Israel,ISR,lsd,Severely endangered,7500.0,31.7748,35.1013,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2174.0,Lishan Didan (Israel),Israel,ISR,trg,Severely endangered,4000.0,32.0383,34.7827,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2175.0,Lishanid Noshan (Israel),Israel,ISR,aij,Severely endangered,3000.0,31.7188,34.7772,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
2176.0,Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,bjf,Critically endangered,20.0,31.7888,35.1947,19.0,0.919,83.0,16.2,13.0,40.187,1.0,95,9318940.0,Republic
1586.0,Gondi,India,IND,gon,Vulnerable,2713790.0,19.5804,80.4418,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1565.0,Kumaoni,India,"IND, NPL",kfy,Vulnerable,2003783.0,29.4778,79.8486,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
