,Rank,Country(or dependent territory),Population
223,192,Palau,17957
224,–,Cook Islands (NZ),15342
225,–,Anguilla (UK),15000
226,–,Wallis and Futuna (France),11558
227,193,Nauru,11550
228,194,Tuvalu,10507
229,–,Saint Barthélemy (France),10124
230,–,Saint Pierre and Miquelon (France),5985
231,–,"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633
232,–,Montserrat (UK),5000
233,–,Falkland Islands (UK),3398
234,–,Christmas Island (Australia),1955
235,–,Niue (NZ),1784
236,–,Norfolk Island (Australia),1735
237,–,Tokelau (NZ),1499
238,195,Vatican City[ab],825
239,–,Cocos (Keeling) Islands (Australia),555
240,–,Pitcairn Islands (UK),50
241,,World,7852721000
